zip_code,median_income,store_count
03854,176953.0,0
03855,100194.0,0
03856,197885.0,0
03857,100845.0,1
03858,138487.0,0
03860,71759.0,0
03861,131579.0,0
03862,144583.0,0
03864,104485.0,0
03865,108317.0,0
03867,78674.0,2
03868,81530.0,0
03869,87215.0,0
03870,140938.0,0
03871,142115.0,0
03872,109583.0,0
03873,135040.0,0
03874,82995.0,1
03875,115583.0,0
03878,75136.0,0
03882,76607.0,0
03883,67679.0,0
03884,122105.0,0
03885,151998.0,0
03886,74450.0,0
03887,91875.0,0
03890,102248.21632653062,1
03894,94349.0,0
03897,102248.21632653062,0
03901,94771.0,0
03902,133676.0,0
03903,101522.0,0
03904,85084.0,1
03905,140730.0,0
03906,105156.0,0
03907,114259.0,0
03908,98289.0,0
03909,115608.0,0
03910,102248.21632653062,0
03911,156299.0,0
04001,78750.0,0
04002,84537.0,0
04003,96250.0,0
04005,74647.0,1
04006,71513.5639686684,0
04008,108479.0,0
04009,78021.0,1
04010,60889.0,0
04011,74952.0,2
04015,69313.0,0
04017,67639.0,0
04019,89712.0,0
04020,69038.0,0
04021,172468.0,0
04022,64167.0,0
04024,52917.0,0
04027,97750.0,0
04029,77813.0,0
04030,72548.0,0
04032,107326.0,1
04037,54414.0,0
04038,112312.0,0
04039,95125.0,1
04040,57218.0,0
04041,62813.0,0
04042,95950.0,0
04043,107804.0,1
04046,102529.0,0
04047,72045.0,0
04048,101172.0,0
04049,84675.0,0
04050,91250.0,0
04051,80625.0,0
04055,78188.0,0
04056,57083.0,0
04057,71513.5639686684,0
04061,94023.0,0
04062,107934.0,1
04063,61667.0,0
04064,59887.0,0
04066,115547.0,0
04068,60417.0,0
04069,104333.0,0
04071,88722.0,0
04072,92241.0,1
04073,72917.0,2
04074,135018.0,1
04076,88140.0,0
04079,91969.0,0
04083,72207.0,0
04084,109345.0,0
04085,92246.0,0
04086,91028.0,1
04087,98105.0,0
04088,63750.0,0
04090,88024.0,1
04091,78750.0,0
04092,85038.0,1
04093,100144.0,0
04095,57206.0,0
04096,110216.0,0
04097,129267.0,0
04101,63880.0,0
04102,82751.0,1
04103,89796.0,1
04105,150919.0,1
04106,86188.0,2
04107,146054.0,0
04108,94318.0,0
