,Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!White alone,Margin of Error!!Total:!!White alone,Estimate!!Total:!!Black or African American alone,Margin of Error!!Total:!!Black or African American alone,Estimate!!Total:!!American Indian and Alaska Native alone,Margin of Error!!Total:!!American Indian and Alaska Native alone,Estimate!!Total:!!Asian alone,Margin of Error!!Total:!!Asian alone,Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total:!!Some Other Race alone,Margin of Error!!Total:!!Some Other Race alone,Estimate!!Total:!!Two or More Races:,Margin of Error!!Total:!!Two or More Races:,Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race,Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race,"Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",,ZIP,GEO_ID,median household income
98,860Z200US43152,ZCTA5 43152,941,427,930,432,0,13,0,13,0,13,0,13,0,13,11,17,11,17,0,13,,43152,860Z200US43152,-
99,860Z200US43153,ZCTA5 43153,1112,313,893,308,0,13,0,13,0,13,0,13,155,135,64,61,36,55,28,34,,43153,860Z200US43153,90417
100,860Z200US43154,ZCTA5 43154,3367,397,3234,427,0,13,0,13,53,58,0,13,5,8,75,65,24,40,51,53,,43154,860Z200US43154,91250
101,860Z200US43155,ZCTA5 43155,2361,467,2284,459,15,24,0,13,4,6,0,13,0,13,58,42,14,23,44,35,,43155,860Z200US43155,90337
102,860Z200US43156,ZCTA5 43156,237,125,206,105,0,13,0,13,0,13,0,13,0,13,31,49,0,13,31,49,,43156,860Z200US43156,93542
103,860Z200US43157,ZCTA5 43157,597,180,528,168,0,13,0,13,0,13,0,13,0,13,69,51,19,27,50,42,,43157,860Z200US43157,62188
104,860Z200US43158,ZCTA5 43158,160,112,69,77,0,13,0,13,0,13,0,13,0,13,91,71,0,13,91,71,,43158,860Z200US43158,-
105,860Z200US43160,ZCTA5 43160,22105,655,20060,675,576,159,0,24,233,89,0,24,171,119,1065,238,285,168,780,163,,43160,860Z200US43160,61740
106,860Z200US43162,ZCTA5 43162,6896,473,6437,505,11,16,6,11,6,15,0,18,3,8,433,253,144,138,289,179,,43162,860Z200US43162,76250
107,860Z200US43164,ZCTA5 43164,2176,364,2049,374,10,13,0,13,8,14,0,13,18,20,91,75,9,11,82,74,,43164,860Z200US43164,68000
108,860Z200US43201,ZCTA5 43201,34322,1588,23325,1281,4835,693,37,31,2718,619,0,27,402,144,3005,509,1364,428,1641,352,,43201,860Z200US43201,43731
109,860Z200US43202,ZCTA5 43202,20854,1511,15797,1306,1191,351,0,24,1755,497,0,24,561,468,1550,443,594,262,956,330,,43202,860Z200US43202,69524
110,860Z200US43203,ZCTA5 43203,8618,1153,2704,517,4733,1031,0,18,178,68,0,18,132,102,871,297,223,114,648,261,,43203,860Z200US43203,47572
111,860Z200US43204,ZCTA5 43204,42962,2554,26108,2053,5966,995,111,151,1108,427,3,6,3363,899,6303,1266,3551,1098,2752,794,,43204,860Z200US43204,59266
112,860Z200US43205,ZCTA5 43205,12618,1008,5609,771,5845,657,37,48,153,102,0,20,145,99,829,293,222,113,607,262,,43205,860Z200US43205,60181
113,860Z200US43206,ZCTA5 43206,21996,1157,12380,1018,6504,892,87,162,250,144,0,24,646,347,2129,527,679,279,1450,426,,43206,860Z200US43206,75806
114,860Z200US43207,ZCTA5 43207,47272,1995,27188,1442,13735,1387,215,149,869,473,0,27,1344,563,3921,852,1147,494,2774,650,,43207,860Z200US43207,63310
115,860Z200US43209,ZCTA5 43209,28193,1176,18636,938,7021,966,50,42,364,128,0,24,238,254,1884,505,510,179,1374,477,,43209,860Z200US43209,89713
116,860Z200US43210,ZCTA5 43210,12164,691,8075,607,771,241,12,27,2284,413,15,31,110,75,897,224,291,121,606,171,,43210,860Z200US43210,34423
117,860Z200US43211,ZCTA5 43211,22313,1541,4553,663,13430,1447,111,144,419,383,0,24,762,325,3038,855,1897,811,1141,337,,43211,860Z200US43211,42579
118,860Z200US43212,ZCTA5 43212,23405,912,19375,1093,794,286,6,10,1307,345,0,24,14,19,1909,606,668,220,1241,607,,43212,860Z200US43212,77257
119,860Z200US43213,ZCTA5 43213,36273,1334,13156,1083,16511,1330,277,174,943,471,0,27,1691,606,3695,890,1579,517,2116,598,,43213,860Z200US43213,54704
120,860Z200US43214,ZCTA5 43214,26776,1304,22418,1163,1315,539,22,20,920,295,0,24,444,231,1657,441,873,425,784,253,,43214,860Z200US43214,94183
121,860Z200US43215,ZCTA5 43215,17836,1132,13234,959,2159,497,20,19,1004,342,10,17,277,147,1132,298,368,171,764,243,,43215,860Z200US43215,74087
122,860Z200US43217,ZCTA5 43217,2091,581,1416,510,336,232,9,13,16,25,0,13,73,50,241,147,133,135,108,71,,43217,860Z200US43217,61356
123,860Z200US43218,ZCTA5 43218,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,,43218,860Z200US43218,-
124,860Z200US43219,ZCTA5 43219,32338,2427,5595,807,20553,2363,265,217,1208,719,29,35,2183,713,2505,789,1051,685,1454,356,,43219,860Z200US43219,52094
125,860Z200US43220,ZCTA5 43220,28792,1566,21600,1520,1014,370,111,110,3097,664,0,24,523,304,2447,625,1257,494,1190,372,,43220,860Z200US43220,74298
126,860Z200US43221,ZCTA5 43221,35293,2033,29401,1885,1231,707,14,23,2284,608,17,25,226,115,2120,697,792,365,1328,575,,43221,860Z200US43221,118768
